City	Price_in_taka	Location
dhaka	à§³39,000,000	Gulshan 1, Gulshan
dhaka	à§³16,900,000	Lake Circus Road, Kalabagan
dhaka	à§³12,500,000	Shukrabad, Dhanmondi
dhaka	à§³20,000,000	Block L, Bashundhara R-A
dhaka	à§³47,500,000	Road No 25, Banani
dhaka	à§³8,800,000	Middle Badda, Badda
dhaka	à§³19,000,000	Block B, Bashundhara R-A
dhaka	à§³23,000,000	Block D, Bashundhara R-A
dhaka	à§³8,000,000	Matuail, Demra
dhaka	à§³20,000,000	Block H, Aftab Nagar
dhaka	à§³8,000,000	West Dolairpar, Shyampur
dhaka	à§³8,000,000	West Dolairpar, Shyampur
dhaka	à§³8,000,000	West Dolairpar, Shyampur
dhaka	à§³21,000,000	Block B, Bashundhara R-A
dhaka	à§³11,000,000	Block H, Aftab Nagar
dhaka	à§³9,500,000	Sector 10, Uttara
dhaka	à§³6,200,000	Sector 10, Uttara
dhaka	à§³22,000,000	Sector 6, Uttara
dhaka	à§³11,000,000	Lake Circus Road, Kalabagan
dhaka	à§³13,100,000	Block H, Bashundhara R-A
dhaka	à§³17,500,000	Block J, Bashundhara R-A
dhaka	à§³78,000,000	Gulshan 2, Gulshan
dhaka	à§³110,000,000	Free School Street, Kathalbagan
dhaka	à§³55,000,000	Gulshan 1, Gulshan
dhaka	à§³8,300,000	Baitul Aman Housing Society, Adabor
dhaka	à§³3,100,000	Section 6, Mirpur
dhaka	à§³16,000,000	Sector 4, Uttara
dhaka	à§³4,500,000	Nobodoy Housing Society, Mohammadpur
dhaka	à§³14,200,000	Free School Street, Kathalbagan
dhaka	à§³7,500,000	Pallabi, Mirpur
dhaka	à§³23,625,000	Sector 7, Uttara
dhaka	à§³25,000,000	Block C, Niketan
dhaka	à§³13,800,000	Vashani Goli, Shantinagar
dhaka	à§³4,000,000	Gandaria, Sutrapur
dhaka	à§³4,700,000	Dhaka Uddan, Mohammadpur
dhaka	à§³5,000,000	West Shewrapara, Mirpur
dhaka	à§³7,320,000	Section 1, Mirpur
dhaka	à§³6,500,000	South Chalabon, Dakshin Khan
dhaka	à§³8,500,000	West Agargaon, Agargaon
dhaka	à§³4,700,000	Section 6, Mirpur
dhaka	à§³120,000,000	Section 12, Mirpur
dhaka	à§³8,700,000	Dakkhin Paikpara, Mirpur
dhaka	à§³7,100,000	Keraniganj
dhaka	à§³4,000,000	Kadamtali, Shyampur
dhaka	à§³3,500,000	Kadamtali, Shyampur
dhaka	à§³18,000,000	Section 11, Mirpur
dhaka	à§³14,000,000	Block C, Aftab Nagar
dhaka	à§³13,200,000	Jahuri Moholla, Mohammadpur
dhaka	à§³14,000,000	Section 2, Mirpur
dhaka	à§³8,200,000	Kallyanpur, Mirpur
dhaka	à§³32,500,000	East Shewrapara, Mirpur
dhaka	à§³4,100,000	West Rampura, Rampura
dhaka	à§³6,200,000	Madhya Ajampur, Dakshin Khan
dhaka	à§³11,500,000	Mohammadia Housing Society, Mohammadpur
dhaka	à§³8,000,000	Uttar Badda, Badda
dhaka	à§³15,500,000	Block C, Niketan
dhaka	à§³4,800,000	North Ibrahimpur, Ibrahimpur
dhaka	à§³5,500,000	Dakhshin Para, Mohakhali
dhaka	à§³7,300,000	West Agargaon, Agargaon
dhaka	à§³7,000,000	Sector 11, Uttara
dhaka	à§³35,000,000	Gulshan 1, Gulshan
dhaka	à§³6,950,000	North Circular Road, Dhanmondi
